ensemblid	annotcategory
ENSG00000164035	Intracellular or membrane-bound
ENSG00000164050	Intracellular or membrane-bound
ENSG00000164074	Intracellular or membrane-bound
ENSG00000164104	Intracellular or membrane-bound
ENSG00000164105	Intracellular or membrane-bound
ENSG00000164303	Intracellular or membrane-bound
ENSG00000164342	Intracellular or membrane-bound
ENSG00000164418	Intracellular or membrane-bound
ENSG00000164451	Intracellular or membrane-bound
ENSG00000164520	Intracellular or membrane-bound
ENSG00000164574	Intracellular or membrane-bound
ENSG00000164687	Intracellular or membrane-bound
ENSG00000164690	Intracellular or membrane-bound
ENSG00000165124	Intracellular or membrane-bound
ENSG00000165131	Intracellular or membrane-bound
ENSG00000165246	Intracellular or membrane-bound
ENSG00000165283	Intracellular or membrane-bound
ENSG00000165379	Intracellular or membrane-bound
ENSG00000165490	Intracellular or membrane-bound
ENSG00000165507	Intracellular or membrane-bound
ENSG00000165650	Intracellular or membrane-bound
ENSG00000165661	Intracellular or membrane-bound
ENSG00000165675	Intracellular or membrane-bound
ENSG00000165730	Intracellular or membrane-bound
ENSG00000165792	Intracellular or membrane-bound
ENSG00000165841	Intracellular or membrane-bound
ENSG00000165899	Intracellular or membrane-bound
ENSG00000165905	Intracellular or membrane-bound
ENSG00000166037	Intracellular or membrane-bound
ENSG00000166169	Intracellular or membrane-bound
ENSG00000166268	Intracellular or membrane-bound
ENSG00000166340	Intracellular or membrane-bound
ENSG00000166342	Intracellular or membrane-bound
ENSG00000166402	Intracellular or membrane-bound
ENSG00000166405	Intracellular or membrane-bound
ENSG00000166454	Intracellular or membrane-bound
ENSG00000166479	Intracellular or membrane-bound
ENSG00000166598	Intracellular or membrane-bound
ENSG00000166710	Intracellular or membrane-bound
ENSG00000166797	Intracellular or membrane-bound
ENSG00000166855	Intracellular or membrane-bound
ENSG00000166997	Intracellular or membrane-bound
ENSG00000167004	Intracellular or membrane-bound
ENSG00000167085	Intracellular or membrane-bound
ENSG00000167104	Intracellular or membrane-bound
ENSG00000167123	Intracellular or membrane-bound
ENSG00000167136	Intracellular or membrane-bound
ENSG00000167468	Intracellular or membrane-bound
ENSG00000167702	Intracellular or membrane-bound
ENSG00000167716	Intracellular or membrane-bound
ENSG00000167800	Intracellular or membrane-bound
ENSG00000167851	Intracellular or membrane-bound
ENSG00000167925	Intracellular or membrane-bound
ENSG00000167964	Intracellular or membrane-bound
ENSG00000168071	Intracellular or membrane-bound
ENSG00000168090	Intracellular or membrane-bound
ENSG00000168438	Intracellular or membrane-bound
ENSG00000168530	Intracellular or membrane-bound
ENSG00000168546	Intracellular or membrane-bound
ENSG00000168619	Intracellular or membrane-bound
ENSG00000168685	Intracellular or membrane-bound
ENSG00000168807	Intracellular or membrane-bound
ENSG00000168938	Intracellular or membrane-bound
ENSG00000168995	Intracellular or membrane-bound
ENSG00000169340	Intracellular or membrane-bound
ENSG00000169347	Intracellular or membrane-bound
ENSG00000169550	Intracellular or membrane-bound
ENSG00000169575	Intracellular or membrane-bound
ENSG00000169604	Intracellular or membrane-bound
ENSG00000169876	Intracellular or membrane-bound
ENSG00000169891	Intracellular or membrane-bound
ENSG00000169894	Intracellular or membrane-bound
ENSG00000169895	Intracellular or membrane-bound
ENSG00000169902	Intracellular or membrane-bound
ENSG00000169919	Intracellular or membrane-bound
ENSG00000170017	Intracellular or membrane-bound
ENSG00000170044	Intracellular or membrane-bound
ENSG00000170153	Intracellular or membrane-bound
ENSG00000170231	Intracellular or membrane-bound
ENSG00000170248	Intracellular or membrane-bound
ENSG00000170266	Intracellular or membrane-bound
ENSG00000170502	Intracellular or membrane-bound
ENSG00000170509	Intracellular or membrane-bound
ENSG00000170634	Intracellular or membrane-bound
ENSG00000170909	Intracellular or membrane-bound
ENSG00000171310	Intracellular or membrane-bound
ENSG00000171487	Intracellular or membrane-bound
ENSG00000171587	Intracellular or membrane-bound
ENSG00000171798	Intracellular or membrane-bound
ENSG00000171827	Intracellular or membrane-bound
ENSG00000171865	Intracellular or membrane-bound
ENSG00000171867	Intracellular or membrane-bound
ENSG00000171903	Intracellular or membrane-bound
ENSG00000172116	Intracellular or membrane-bound
ENSG00000172164	Intracellular or membrane-bound
ENSG00000172508	Intracellular or membrane-bound
ENSG00000172728	Intracellular or membrane-bound
ENSG00000172828	Intracellular or membrane-bound
ENSG00000172901	Intracellular or membrane-bound
ENSG00000173200	Intracellular or membrane-bound
ENSG00000173275	Intracellular or membrane-bound
ENSG00000173391	Intracellular or membrane-bound
ENSG00000173402	Intracellular or membrane-bound
ENSG00000173452	Intracellular or membrane-bound
ENSG00000173467	Intracellular or membrane-bound
ENSG00000173486	Intracellular or membrane-bound
ENSG00000173706	Intracellular or membrane-bound
ENSG00000173928	Intracellular or membrane-bound
ENSG00000174080	Intracellular or membrane-bound
ENSG00000174099	Intracellular or membrane-bound
ENSG00000174197	Intracellular or membrane-bound
ENSG00000174473	Intracellular or membrane-bound
ENSG00000174684	Intracellular or membrane-bound
ENSG00000174917	Intracellular or membrane-bound
ENSG00000175110	Intracellular or membrane-bound
ENSG00000175229	Intracellular or membrane-bound
ENSG00000175264	Intracellular or membrane-bound
ENSG00000175764	Intracellular or membrane-bound
ENSG00000175806	Intracellular or membrane-bound
ENSG00000176208	Intracellular or membrane-bound
ENSG00000176624	Intracellular or membrane-bound
ENSG00000176956	Intracellular or membrane-bound
ENSG00000176971	Intracellular or membrane-bound
ENSG00000176978	Intracellular or membrane-bound
ENSG00000177030	Intracellular or membrane-bound
ENSG00000177191	Intracellular or membrane-bound
ENSG00000177600	Intracellular or membrane-bound
ENSG00000177628	Intracellular or membrane-bound
ENSG00000177675	Intracellular or membrane-bound
ENSG00000177830	Intracellular or membrane-bound
ENSG00000178096	Intracellular or membrane-bound
ENSG00000178177	Intracellular or membrane-bound
ENSG00000178202	Intracellular or membrane-bound
ENSG00000178502	Intracellular or membrane-bound
ENSG00000178821	Intracellular or membrane-bound
ENSG00000178934	Intracellular or membrane-bound
ENSG00000179163	Intracellular or membrane-bound
ENSG00000179218	Intracellular or membrane-bound
ENSG00000179314	Intracellular or membrane-bound
ENSG00000179399	Intracellular or membrane-bound
ENSG00000179431	Intracellular or membrane-bound
ENSG00000179751	Intracellular or membrane-bound
ENSG00000179913	Intracellular or membrane-bound
ENSG00000179915	Intracellular or membrane-bound
ENSG00000180398	Intracellular or membrane-bound
ENSG00000180644	Intracellular or membrane-bound
ENSG00000180767	Intracellular or membrane-bound
ENSG00000180902	Intracellular or membrane-bound
ENSG00000181027	Intracellular or membrane-bound
ENSG00000181378	Intracellular or membrane-bound
ENSG00000181523	Intracellular or membrane-bound
ENSG00000182156	Intracellular or membrane-bound
ENSG00000182240	Intracellular or membrane-bound
ENSG00000182272	Intracellular or membrane-bound
ENSG00000182600	Intracellular or membrane-bound
ENSG00000182667	Intracellular or membrane-bound
ENSG00000182768	Intracellular or membrane-bound
ENSG00000182896	Intracellular or membrane-bound
ENSG00000183011	Intracellular or membrane-bound
ENSG00000183098	Intracellular or membrane-bound
ENSG00000183196	Intracellular or membrane-bound
ENSG00000183291	Intracellular or membrane-bound
ENSG00000183317	Intracellular or membrane-bound
ENSG00000183715	Intracellular or membrane-bound
ENSG00000183778	Intracellular or membrane-bound
ENSG00000183878	Intracellular or membrane-bound
ENSG00000184012	Intracellular or membrane-bound
ENSG00000184304	Intracellular or membrane-bound
ENSG00000184619	Intracellular or membrane-bound
ENSG00000184647	Intracellular or membrane-bound
ENSG00000185070	Intracellular or membrane-bound
ENSG00000185090	Intracellular or membrane-bound
ENSG00000185347	Intracellular or membrane-bound
ENSG00000185352	Intracellular or membrane-bound
ENSG00000185436	Intracellular or membrane-bound
ENSG00000185483	Intracellular or membrane-bound
ENSG00000185615	Intracellular or membrane-bound
ENSG00000185664	Intracellular or membrane-bound
ENSG00000185739	Intracellular or membrane-bound
ENSG00000185924	Intracellular or membrane-bound
ENSG00000186104	Intracellular or membrane-bound
ENSG00000186115	Intracellular or membrane-bound
ENSG00000186190	Intracellular or membrane-bound
ENSG00000186283	Intracellular or membrane-bound
ENSG00000186395	Intracellular or membrane-bound
ENSG00000186431	Intracellular or membrane-bound
ENSG00000186652	Intracellular or membrane-bound
ENSG00000186854	Intracellular or membrane-bound
ENSG00000186866	Intracellular or membrane-bound
ENSG00000186907	Intracellular or membrane-bound
ENSG00000187147	Intracellular or membrane-bound
ENSG00000187492	Intracellular or membrane-bound
ENSG00000187676	Intracellular or membrane-bound
ENSG00000187742	Intracellular or membrane-bound
ENSG00000188611	Intracellular or membrane-bound
ENSG00000188937	Intracellular or membrane-bound
ENSG00000189013	Intracellular or membrane-bound
ENSG00000189403	Intracellular or membrane-bound
ENSG00000196188	Intracellular or membrane-bound
ENSG00000196338	Intracellular or membrane-bound
ENSG00000196358	Intracellular or membrane-bound
ENSG00000196378	Intracellular or membrane-bound
ENSG00000196436	Intracellular or membrane-bound
ENSG00000196562	Intracellular or membrane-bound
ENSG00000196743	Intracellular or membrane-bound
ENSG00000196954	Intracellular or membrane-bound
ENSG00000196968	Intracellular or membrane-bound
ENSG00000197345	Intracellular or membrane-bound
ENSG00000197353	Intracellular or membrane-bound
ENSG00000197408	Intracellular or membrane-bound
ENSG00000197446	Intracellular or membrane-bound
ENSG00000197721	Intracellular or membrane-bound
ENSG00000197746	Intracellular or membrane-bound
ENSG00000197822	Intracellular or membrane-bound
ENSG00000197838	Intracellular or membrane-bound
ENSG00000197930	Intracellular or membrane-bound
ENSG00000198077	Intracellular or membrane-bound
ENSG00000198108	Intracellular or membrane-bound
ENSG00000198160	Intracellular or membrane-bound
ENSG00000198189	Intracellular or membrane-bound
ENSG00000198488	Intracellular or membrane-bound
ENSG00000198546	Intracellular or membrane-bound
ENSG00000198673	Intracellular or membrane-bound
ENSG00000198700	Intracellular or membrane-bound
ENSG00000198718	Intracellular or membrane-bound
ENSG00000198756	Intracellular or membrane-bound
ENSG00000198788	Intracellular or membrane-bound
ENSG00000198822	Intracellular or membrane-bound
ENSG00000198832	Intracellular or membrane-bound
ENSG00000198855	Intracellular or membrane-bound
ENSG00000198948	Intracellular or membrane-bound
ENSG00000198951	Intracellular or membrane-bound
ENSG00000203772	Intracellular or membrane-bound
ENSG00000203896	Intracellular or membrane-bound
ENSG00000204007	Intracellular or membrane-bound
ENSG00000204371	Intracellular or membrane-bound
ENSG00000204420	Intracellular or membrane-bound
ENSG00000204463	Intracellular or membrane-bound
ENSG00000204511	Intracellular or membrane-bound
ENSG00000204525	Intracellular or membrane-bound
ENSG00000204580	Intracellular or membrane-bound
ENSG00000204852	Intracellular or membrane-bound
ENSG00000204936	Intracellular or membrane-bound
ENSG00000205076	Intracellular or membrane-bound
ENSG00000205592	Intracellular or membrane-bound
ENSG00000205755	Intracellular or membrane-bound
ENSG00000206047	Intracellular or membrane-bound
ENSG00000206075	Intracellular or membrane-bound
ENSG00000213185	Intracellular or membrane-bound
ENSG00000213402	Intracellular or membrane-bound
ENSG00000213420	Intracellular or membrane-bound
ENSG00000213593	Intracellular or membrane-bound
ENSG00000213614	Intracellular or membrane-bound
ENSG00000213658	Intracellular or membrane-bound
ENSG00000214046	Intracellular or membrane-bound
ENSG00000214140	Intracellular or membrane-bound
ENSG00000216490	Intracellular or membrane-bound
ENSG00000221866	Intracellular or membrane-bound
ENSG00000221890	Intracellular or membrane-bound
ENSG00000221978	Intracellular or membrane-bound
ENSG00000221988	Intracellular or membrane-bound
ENSG00000223802	Intracellular or membrane-bound
ENSG00000224940	Intracellular or membrane-bound
ENSG00000225973	Intracellular or membrane-bound
ENSG00000229637	Intracellular or membrane-bound
ENSG00000231852	Intracellular or membrane-bound
ENSG00000232838	Intracellular or membrane-bound
ENSG00000233232	Intracellular or membrane-bound
ENSG00000237172	Intracellular or membrane-bound
ENSG00000239264	Intracellular or membrane-bound
ENSG00000239672	Intracellular or membrane-bound
ENSG00000239839	Intracellular or membrane-bound
ENSG00000240247	Intracellular or membrane-bound
ENSG00000242515	Intracellular or membrane-bound
ENSG00000243317	Intracellular or membrane-bound
ENSG00000244355	Intracellular or membrane-bound
ENSG00000247077	Intracellular or membrane-bound
ENSG00000248871	Intracellular or membrane-bound
ENSG00000250361	Intracellular or membrane-bound
ENSG00000250510	Intracellular or membrane-bound
ENSG00000253873	Intracellular or membrane-bound
ENSG00000255552	Intracellular or membrane-bound
ENSG00000255974	Intracellular or membrane-bound
ENSG00000256043	Intracellular or membrane-bound
ENSG00000257727	Intracellular or membrane-bound
ENSG00000258429	Intracellular or membrane-bound
ENSG00000258484	Intracellular or membrane-bound
ENSG00000265763	Intracellular or membrane-bound
ENSG00000269058	Intracellular or membrane-bound
ENSG00000269113	Intracellular or membrane-bound
ENSG00000272398	Intracellular or membrane-bound
ENSG00000273111	Intracellular or membrane-bound
ENSG00000277400	Intracellular or membrane-bound
ENSG00000277494	Intracellular or membrane-bound
ENSG00000278535	Intracellular or membrane-bound
ENSG00000280071	Intracellular or membrane-bound
ENSG00000284505	Intracellular or membrane-bound
ENSG00000284779	Intracellular or membrane-bound
ENSG00000113578	Locally secreted
ENSG00000138685	Locally secreted
ENSG00000197635	Locally secreted
ENSG00000002726	Locally secreted
ENSG00000005001	Locally secreted
ENSG00000006016	Locally secreted
ENSG00000012171	Locally secreted
ENSG00000012223	Locally secreted
ENSG00000029559	Locally secreted
ENSG00000042832	Locally secreted
ENSG00000050165	Locally secreted
ENSG00000062096	Locally secreted
ENSG00000069764	Locally secreted
ENSG00000070193	Locally secreted
ENSG00000070388	Locally secreted
ENSG00000070404	Locally secreted
ENSG00000071073	Locally secreted
ENSG00000075213	Locally secreted
ENSG00000075223	Locally secreted
ENSG00000075388	Locally secreted
ENSG00000078579	Locally secreted
ENSG00000079101	Locally secreted
ENSG00000087494	Locally secreted
ENSG00000088882	Locally secreted
ENSG00000090539	Locally secreted
ENSG00000096006	Locally secreted
ENSG00000099250	Locally secreted
ENSG00000099721	Locally secreted
ENSG00000101230	Locally secreted
ENSG00000101282	Locally secreted
ENSG00000101443	Locally secreted
ENSG00000101938	Locally secreted
ENSG00000102104	Locally secreted
ENSG00000102678	Locally secreted
ENSG00000102837	Locally secreted
ENSG00000103888	Locally secreted
ENSG00000104332	Locally secreted
ENSG00000104371	Locally secreted
ENSG00000104818	Locally secreted
ENSG00000105088	Locally secreted
ENSG00000105472	Locally secreted
ENSG00000105954	Locally secreted
ENSG00000106809	Locally secreted
ENSG00000107831	Locally secreted
ENSG00000108950	Locally secreted
ENSG00000109255	Locally secreted
ENSG00000109927	Locally secreted
ENSG00000110400	Locally secreted
ENSG00000111241	Locally secreted
ENSG00000111405	Locally secreted
ENSG00000112706	Locally secreted
ENSG00000112812	Locally secreted
ENSG00000113739	Locally secreted
ENSG00000117407	Locally secreted
ENSG00000117983	Locally secreted
ENSG00000118257	Locally secreted
ENSG00000118523	Locally secreted
ENSG00000118702	Locally secreted
ENSG00000119913	Locally secreted
ENSG00000120057	Locally secreted
ENSG00000122136	Locally secreted
ENSG00000122852	Locally secreted
ENSG00000124935	Locally secreted
ENSG00000124939	Locally secreted
ENSG00000125363	Locally secreted
ENSG00000125650	Locally secreted
ENSG00000125851	Locally secreted
ENSG00000125879	Locally secreted
ENSG00000125999	Locally secreted
ENSG00000126233	Locally secreted
ENSG00000127083	Locally secreted
ENSG00000127578	Locally secreted
ENSG00000128342	Locally secreted
ENSG00000128510	Locally secreted
ENSG00000128606	Locally secreted
ENSG00000129437	Locally secreted
ENSG00000129451	Locally secreted
ENSG00000129455	Locally secreted
ENSG00000130385	Locally secreted
ENSG00000131015	Locally secreted
ENSG00000131400	Locally secreted
ENSG00000132026	Locally secreted
ENSG00000133661	Locally secreted
ENSG00000133710	Locally secreted
ENSG00000134020	Locally secreted
ENSG00000134028	Locally secreted
ENSG00000134259	Locally secreted
ENSG00000135253	Locally secreted
ENSG00000137440	Locally secreted
ENSG00000137558	Locally secreted
ENSG00000138379	Locally secreted
ENSG00000140285	Locally secreted
ENSG00000141433	Locally secreted
ENSG00000143217	Locally secreted
ENSG00000143512	Locally secreted
ENSG00000143556	Locally secreted
ENSG00000143768	Locally secreted
ENSG00000143869	Locally secreted
ENSG00000144837	Locally secreted
ENSG00000145113	Locally secreted
ENSG00000145147	Locally secreted
ENSG00000145423	Locally secreted
ENSG00000145730	Locally secreted
ENSG00000147655	Locally secreted
ENSG00000148346	Locally secreted
ENSG00000149021	Locally secreted
ENSG00000152583	Locally secreted
ENSG00000152591	Locally secreted
ENSG00000152785	Locally secreted
ENSG00000153993	Locally secreted
ENSG00000154175	Locally secreted
ENSG00000155011	Locally secreted
ENSG00000155719	Locally secreted
ENSG00000156218	Locally secreted
ENSG00000156427	Locally secreted
ENSG00000156575	Locally secreted
ENSG00000157193	Locally secreted
ENSG00000158747	Locally secreted
ENSG00000159167	Locally secreted
ENSG00000159527	Locally secreted
ENSG00000159723	Locally secreted
ENSG00000159763	Locally secreted
ENSG00000160349	Locally secreted
ENSG00000161249	Locally secreted
ENSG00000161634	Locally secreted
ENSG00000162670	Locally secreted
ENSG00000162998	Locally secreted
ENSG00000163218	Locally secreted
ENSG00000163501	Locally secreted
ENSG00000164161	Locally secreted
ENSG00000164265	Locally secreted
ENSG00000164291	Locally secreted
ENSG00000164761	Locally secreted
ENSG00000164825	Locally secreted
ENSG00000164932	Locally secreted
ENSG00000165072	Locally secreted
ENSG00000165799	Locally secreted
ENSG00000165953	Locally secreted
ENSG00000165973	Locally secreted
ENSG00000166535	Locally secreted
ENSG00000167311	Locally secreted
ENSG00000167754	Locally secreted
ENSG00000167755	Locally secreted
ENSG00000167757	Locally secreted
ENSG00000167759	Locally secreted
ENSG00000167968	Locally secreted
ENSG00000168484	Locally secreted
ENSG00000168515	Locally secreted
ENSG00000168621	Locally secreted
ENSG00000168792	Locally secreted
ENSG00000168878	Locally secreted
ENSG00000169035	Locally secreted
ENSG00000169344	Locally secreted
ENSG00000170381	Locally secreted
ENSG00000170419	Locally secreted
ENSG00000170891	Locally secreted
ENSG00000170893	Locally secreted
ENSG00000171102	Locally secreted
ENSG00000171199	Locally secreted
ENSG00000171388	Locally secreted
ENSG00000171711	Locally secreted
ENSG00000171819	Locally secreted
ENSG00000172551	Locally secreted
ENSG00000172752	Locally secreted
ENSG00000173239	Locally secreted
ENSG00000173376	Locally secreted
ENSG00000173714	Locally secreted
ENSG00000174792	Locally secreted
ENSG00000175121	Locally secreted
ENSG00000175315	Locally secreted
ENSG00000175426	Locally secreted
ENSG00000175793	Locally secreted
ENSG00000175894	Locally secreted
ENSG00000176797	Locally secreted
ENSG00000177243	Locally secreted
ENSG00000177257	Locally secreted
ENSG00000177706	Locally secreted
ENSG00000177984	Locally secreted
ENSG00000178031	Locally secreted
ENSG00000178522	Locally secreted
ENSG00000178602	Locally secreted
ENSG00000178776	Locally secreted
ENSG00000179284	Locally secreted
ENSG00000179954	Locally secreted
ENSG00000180383	Locally secreted
ENSG00000180424	Locally secreted
ENSG00000180801	Locally secreted
ENSG00000181143	Locally secreted
ENSG00000181195	Locally secreted
ENSG00000181617	Locally secreted
ENSG00000181744	Locally secreted
ENSG00000182447	Locally secreted
ENSG00000182585	Locally secreted
ENSG00000183876	Locally secreted
ENSG00000183979	Locally secreted
ENSG00000184347	Locally secreted
ENSG00000184459	Locally secreted
ENSG00000184544	Locally secreted
ENSG00000184599	Locally secreted
ENSG00000185267	Locally secreted
ENSG00000185303	Locally secreted
ENSG00000185499	Locally secreted
ENSG00000185652	Locally secreted
ENSG00000185674	Locally secreted
ENSG00000186146	Locally secreted
ENSG00000186474	Locally secreted
ENSG00000186998	Locally secreted
ENSG00000187123	Locally secreted
ENSG00000187151	Locally secreted
ENSG00000187689	Locally secreted
ENSG00000187908	Locally secreted
ENSG00000188107	Locally secreted
ENSG00000188162	Locally secreted
ENSG00000188293	Locally secreted
ENSG00000188373	Locally secreted
ENSG00000188508	Locally secreted
ENSG00000188624	Locally secreted
ENSG00000188710	Locally secreted
ENSG00000188729	Locally secreted
ENSG00000188770	Locally secreted
ENSG00000189171	Locally secreted
ENSG00000196260	Locally secreted
ENSG00000196337	Locally secreted
ENSG00000196468	Locally secreted
ENSG00000196937	Locally secreted
ENSG00000197859	Locally secreted
ENSG00000197953	Locally secreted
ENSG00000198074	Locally secreted
ENSG00000198183	Locally secreted
ENSG00000198797	Locally secreted
ENSG00000204020	Locally secreted
ENSG00000204021	Locally secreted
ENSG00000204305	Locally secreted
ENSG00000204538	Locally secreted
ENSG00000204539	Locally secreted
ENSG00000204866	Locally secreted
ENSG00000204909	Locally secreted
ENSG00000213892	Locally secreted
ENSG00000213918	Locally secreted
ENSG00000225950	Locally secreted
ENSG00000226124	Locally secreted
ENSG00000229415	Locally secreted
ENSG00000241186	Locally secreted
ENSG00000243709	Locally secreted
ENSG00000248329	Locally secreted
ENSG00000253117	Locally secreted
ENSG00000253309	Locally secreted
ENSG00000265203	Locally secreted
ENSG00000266524	Locally secreted
ENSG00000283992	Locally secreted
ENSG00000011201	Locally secreted in brain
ENSG00000054803	Locally secreted in brain
ENSG00000063180	Locally secreted in brain
ENSG00000101327	Locally secreted in brain
ENSG00000102924	Locally secreted in brain
ENSG00000103260	Locally secreted in brain
ENSG00000104112	Locally secreted in brain
ENSG00000106278	Locally secreted in brain
ENSG00000108231	Locally secreted in brain
ENSG00000109956	Locally secreted in brain
ENSG00000116147	Locally secreted in brain
ENSG00000118733	Locally secreted in brain
ENSG00000122584	Locally secreted in brain
ENSG00000130287	Locally secreted in brain
ENSG00000130558	Locally secreted in brain
ENSG00000131094	Locally secreted in brain
ENSG00000132692	Locally secreted in brain
ENSG00000132702	Locally secreted in brain
ENSG00000137261	Locally secreted in brain
ENSG00000138028	Locally secreted in brain
ENSG00000138675	Locally secreted in brain
ENSG00000139899	Locally secreted in brain
ENSG00000141668	Locally secreted in brain
ENSG00000142233	Locally secreted in brain
ENSG00000142538	Locally secreted in brain
ENSG00000142549	Locally secreted in brain
ENSG00000144119	Locally secreted in brain
ENSG00000144227	Locally secreted in brain
ENSG00000150656	Locally secreted in brain
ENSG00000153902	Locally secreted in brain
ENSG00000154975	Locally secreted in brain
ENSG00000158815	Locally secreted in brain
ENSG00000162068	Locally secreted in brain
ENSG00000162490	Locally secreted in brain
ENSG00000163377	Locally secreted in brain
ENSG00000163536	Locally secreted in brain
ENSG00000164106	Locally secreted in brain
ENSG00000164112	Locally secreted in brain
ENSG00000165985	Locally secreted in brain
ENSG00000167733	Locally secreted in brain
ENSG00000168481	Locally secreted in brain
ENSG00000168843	Locally secreted in brain
ENSG00000171246	Locally secreted in brain
ENSG00000172247	Locally secreted in brain
ENSG00000174521	Locally secreted in brain
ENSG00000174721	Locally secreted in brain
ENSG00000175874	Locally secreted in brain
ENSG00000178235	Locally secreted in brain
ENSG00000181790	Locally secreted in brain
ENSG00000182379	Locally secreted in brain
ENSG00000182575	Locally secreted in brain
ENSG00000183662	Locally secreted in brain
ENSG00000184144	Locally secreted in brain
ENSG00000185737	Locally secreted in brain
ENSG00000186895	Locally secreted in brain
ENSG00000186897	Locally secreted in brain
ENSG00000187122	Locally secreted in brain
ENSG00000187398	Locally secreted in brain
ENSG00000187664	Locally secreted in brain
ENSG00000197487	Locally secreted in brain
ENSG00000197558	Locally secreted in brain
ENSG00000204347	Locally secreted in brain
ENSG00000204640	Locally secreted in brain
ENSG00000219438	Locally secreted in brain
ENSG00000241563	Locally secreted in brain
ENSG00000100593	Locally secreted in female tissues
ENSG00000103310	Locally secreted in female tissues
ENSG00000106483	Locally secreted in female tissues
ENSG00000107984	Locally secreted in female tissues
ENSG00000110484	Locally secreted in female tissues
ENSG00000116183	Locally secreted in female tissues
ENSG00000116996	Locally secreted in female tissues
ENSG00000122133	Locally secreted in female tissues
ENSG00000124467	Locally secreted in female tissues
ENSG00000124557	Locally secreted in female tissues
ENSG00000126545	Locally secreted in female tissues
ENSG00000135222	Locally secreted in female tissues
ENSG00000135919	Locally secreted in female tissues
ENSG00000146250	Locally secreted in female tissues
ENSG00000148848	Locally secreted in female tissues
ENSG00000149506	Locally secreted in female tissues
ENSG00000164404	Locally secreted in female tissues
ENSG00000166863	Locally secreted in female tissues
ENSG00000167531	Locally secreted in female tissues
ENSG00000169218	Locally secreted in female tissues
ENSG00000169314	Locally secreted in female tissues
ENSG00000169495	Locally secreted in female tissues
ENSG00000170498	Locally secreted in female tissues
ENSG00000170801	Locally secreted in female tissues
ENSG00000170848	Locally secreted in female tissues
ENSG00000170965	Locally secreted in female tissues
ENSG00000171209	Locally secreted in female tissues
ENSG00000182752	Locally secreted in female tissues
ENSG00000183668	Locally secreted in female tissues
ENSG00000185269	Locally secreted in female tissues
ENSG00000187950	Locally secreted in female tissues
ENSG00000188372	Locally secreted in female tissues
ENSG00000188886	Locally secreted in female tissues
ENSG00000197745	Locally secreted in female tissues
ENSG00000204941	Locally secreted in female tissues
ENSG00000221826	Locally secreted in female tissues
ENSG00000221878	Locally secreted in female tissues
ENSG00000231924	Locally secreted in female tissues
ENSG00000242221	Locally secreted in female tissues
ENSG00000243130	Locally secreted in female tissues
ENSG00000243137	Locally secreted in female tissues
ENSG00000006282	Locally secreted in male tissues
ENSG00000042813	Locally secreted in male tissues
ENSG00000088782	Locally secreted in male tissues
ENSG00000099338	Locally secreted in male tissues
ENSG00000099840	Locally secreted in male tissues
ENSG00000100312	Locally secreted in male tissues
ENSG00000101435	Locally secreted in male tissues
ENSG00000101446	Locally secreted in male tissues
ENSG00000101448	Locally secreted in male tissues
ENSG00000103023	Locally secreted in male tissues
ENSG00000104804	Locally secreted in male tissues
ENSG00000104901	Locally secreted in male tissues
ENSG00000106638	Locally secreted in male tissues
ENSG00000120563	Locally secreted in male tissues
ENSG00000123171	Locally secreted in male tissues
ENSG00000124116	Locally secreted in male tissues
ENSG00000124157	Locally secreted in male tissues
ENSG00000124233	Locally secreted in male tissues
ENSG00000124490	Locally secreted in male tissues
ENSG00000124812	Locally secreted in male tissues
ENSG00000125788	Locally secreted in male tissues
ENSG00000125815	Locally secreted in male tissues
ENSG00000125823	Locally secreted in male tissues
ENSG00000125831	Locally secreted in male tissues
ENSG00000125900	Locally secreted in male tissues
ENSG00000125903	Locally secreted in male tissues
ENSG00000131059	Locally secreted in male tissues
ENSG00000131068	Locally secreted in male tissues
ENSG00000131126	Locally secreted in male tissues
ENSG00000139549	Locally secreted in male tissues
ENSG00000139574	Locally secreted in male tissues
ENSG00000141316	Locally secreted in male tissues
ENSG00000142515	Locally secreted in male tissues
ENSG00000143107	Locally secreted in male tissues
ENSG00000144339	Locally secreted in male tissues
ENSG00000148386	Locally secreted in male tissues
ENSG00000149507	Locally secreted in male tissues
ENSG00000149651	Locally secreted in male tissues
ENSG00000151033	Locally secreted in male tissues
ENSG00000153498	Locally secreted in male tissues
ENSG00000157093	Locally secreted in male tissues
ENSG00000158525	Locally secreted in male tissues
ENSG00000158816	Locally secreted in male tissues
ENSG00000158901	Locally secreted in male tissues
ENSG00000159398	Locally secreted in male tissues
ENSG00000159648	Locally secreted in male tissues
ENSG00000160886	Locally secreted in male tissues
ENSG00000164221	Locally secreted in male tissues
ENSG00000164871	Locally secreted in male tissues
ENSG00000165076	Locally secreted in male tissues
ENSG00000166845	Locally secreted in male tissues
ENSG00000167077	Locally secreted in male tissues
ENSG00000167749	Locally secreted in male tissues
ENSG00000167751	Locally secreted in male tissues
ENSG00000168634	Locally secreted in male tissues
ENSG00000169393	Locally secreted in male tissues
ENSG00000171053	Locally secreted in male tissues
ENSG00000171478	Locally secreted in male tissues
ENSG00000171489	Locally secreted in male tissues
ENSG00000173401	Locally secreted in male tissues
ENSG00000173464	Locally secreted in male tissues
ENSG00000176571	Locally secreted in male tissues
ENSG00000176782	Locally secreted in male tissues
